🕘️更新时间,#genre#
2025-06-27 18:39:00,http://8.138.7.223/tv/ptbtv.php

📺央视频道,#genre#
CCTV1,http://8.138.7.223/tv/ptbtv.php
CCTV1,http://8.138.7.223/tv/ptbtv.php?id=27
CCTV1,http://106.115.25.84:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://nxlj.cn:1688/udp/239.45.3.145:5140
CCTV1,http://120.236.126.156:55455/mgtv/608807420.m3u8
CCTV1,http://221.222.242.239:56787/mgtv/608807420.m3u8
CCTV1,http://101.26.54.36:9003/mgtv/608807420.m3u8
CCTV1,http://117.13.121.247:4022/rtp/225.1.1.120:5002
CCTV1,http://220.169.100.41:10087/udp/239.76.251.87:9000
CCTV1,http://8.138.7.223/tv/migu8.php?id=c74966f7109bc090b8b9f234bec5884f
CCTV2,http://8.138.7.223/tv/migu8.php?id=1434bac241017d9eb89485bc80491bf6
CCTV2,http://120.236.126.156:55455/mgtv/631780532.m3u8
CCTV2,http://223.13.61.250:1000/mgtv/631780532.m3u8
CCTV2,http://111.162.204.18:8686/rtp/225.1.1.133:5002
CCTV2,http://59.174.90.64:5555/mgtv/631780532.m3u8
CCTV2,http://114.226.231.209:8787/rtp/239.49.8.50:9802
CCTV2,http://183.186.89.199:8899/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://221.222.242.239:56787/mgtv/631780532.m3u8
CCTV2,http://alist.xicp.fun:35455/mgtv/631780532.m3u8
CCTV2,http://121.29.141.212:4022/rtp/239.253.92.190:6065
CCTV3,http://112.27.145.212:9901/tsfile/live/1502_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.236.126.156:55455/mgtv/624878271.m3u8
CCTV3,http://106.115.24.115:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.162.204.18:8686/rtp/225.1.1.158:5002
CCTV3,http://117.13.121.247:4022/rtp/225.1.1.158:5002
CCTV3,http://ychz.myds.me:35455/mgtv/624878271.m3u8
CCTV3,http://114.103.187.33:35455/mgtv/624878271.m3u8
CCTV3,http://101.26.54.36:9003/mgtv/624878271.m3u8
CCTV3,http://220.169.100.41:10087/udp/239.76.246.153:1234
CCTV3,http://223.13.61.250:1000/mgtv/624878271.m3u8
CCTV4,http://106.115.25.30:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://111.162.204.18:8686/rtp/225.1.1.150:5002
CCTV4,http://120.236.126.156:55455/mgtv/631780421.m3u8
CCTV4,http://114.238.59.27:4000/rtp/239.49.8.131:6000
CCTV4,http://101.26.54.36:9003/mgtv/631780421.m3u8
CCTV4,http://114.226.231.209:8787/rtp/239.49.8.131:6000
CCTV4,http://117.13.121.247:4022/rtp/225.1.1.150:5002
CCTV4,http://223.13.61.250:1000/mgtv/631780421.m3u8
CCTV4,http://171.15.18.199:8180/TV00000000000000000004@HHZT
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV5,http://120.236.126.156:55455/mgtv/641886683.m3u8
CCTV5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV5,http://117.13.121.247:4022/rtp/225.1.1.160:5002
CCTV5,http://ychz.myds.me:35455/mgtv/641886683.m3u8
CCTV5,http://101.26.54.36:9003/mgtv/641886683.m3u8
CCTV5,http://223.13.61.250:1000/mgtv/641886683.m3u8
CCTV5,http://121.29.141.212:4022/rtp/239.253.92.181:6046
CCTV5,http://221.222.242.239:56787/mgtv/641886683.m3u8
CCTV5,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV5,http://i.880824.xyz:35455/mgtv/641886683.m3u8
CCTV5+,http://117.13.121.247:4022/rtp/225.1.1.121:5002
CCTV5+,http://114.238.59.27:4000/rtp/239.49.8.18:9610
CCTV5+,http://120.236.126.156:55455/mgtv/641886773.m3u8
CCTV5+,http://101.26.54.36:9003/mgtv/641886773.m3u8
CCTV5+,http://221.222.242.239:56787/mgtv/641886773.m3u8
CCTV5+,http://114.103.187.33:35455/mgtv/641886773.m3u8
CCTV5+,http://59.174.90.64:5555/mgtv/641886773.m3u8
CCTV5+,http://183.186.89.199:8899/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://223.13.61.250:1000/mgtv/641886773.m3u8
CCTV5+,http://121.29.133.226:8888/rtp/239.253.92.82:8013
CCTV6,http://120.236.126.156:55455/mgtv/624878396.m3u8
CCTV6,http://221.222.242.239:56787/mgtv/624878396.m3u8
CCTV6,http://ychz.myds.me:35455/mgtv/624878396.m3u8
CCTV6,http://223.13.61.250:1000/mgtv/624878396.m3u8
CCTV6,http://59.174.90.64:5555/mgtv/624878396.m3u8
CCTV6,http://101.26.54.36:9003/mgtv/624878396.m3u8
CCTV6,http://121.29.141.212:4022/rtp/239.253.92.193:6058
CCTV6,http://111.193.239.245:9999/rtp/239.3.1.174:8001
CCTV6,http://183.186.89.199:8899/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://117.12.149.228:4022/rtp/225.1.1.195:5002
CCTV7,http://120.236.126.156:55455/mgtv/673168121.m3u8
CCTV7,http://111.162.204.18:8686/rtp/225.1.1.138:5002
CCTV7,http://171.35.84.178:8688/udp/239.252.220.185:5140
CCTV7,http://221.222.242.239:56787/mgtv/673168121.m3u8
CCTV7,http://114.103.187.33:35455/mgtv/673168121.m3u8
CCTV7,http://59.174.90.64:5555/mgtv/673168121.m3u8
CCTV7,http://223.13.61.250:1000/mgtv/673168121.m3u8
CCTV7,http://101.26.54.36:9003/mgtv/673168121.m3u8
CCTV7,http://111.196.134.161:20000/udp/239.3.1.61:8104
CCTV7,http://183.186.89.199:8899/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://120.236.126.156:55455/mgtv/624878356.m3u8
CCTV8,http://114.103.187.33:35455/mgtv/624878356.m3u8
CCTV8,http://111.162.204.18:8686/rtp/225.1.1.196:5002
CCTV8,http://www.lizhinas.top:1009/udp/239.252.219.253:5140
CCTV8,http://221.222.242.239:56787/mgtv/624878356.m3u8
CCTV8,http://223.13.61.250:1000/mgtv/624878356.m3u8
CCTV8,http://42.63.195.230:8089/hls/8/index.m3u8
CCTV8,http://59.174.90.64:5555/mgtv/624878356.m3u8
CCTV8,http://117.13.121.247:4022/rtp/225.1.1.196:5002
CCTV8,http://121.29.141.212:4022/rtp/239.253.92.195:6060
CCTV9,http://120.236.126.156:55455/mgtv/673168140.m3u8
CCTV9,http://221.222.242.239:56787/mgtv/673168140.m3u8
CCTV9,http://117.13.121.247:4022/rtp/225.1.1.119:5002
CCTV9,http://223.13.61.250:1000/mgtv/673168140.m3u8
CCTV9,http://nxlj.cn:1688/udp/239.45.3.4:5140
CCTV9,http://114.103.187.33:35455/mgtv/673168140.m3u8
CCTV9,http://121.29.141.212:4022/rtp/239.253.92.107:6020
CCTV9,http://171.15.18.199:8180/TV00000000000000000009@HHZT
CCTV9,http://183.186.89.199:8899/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://111.193.239.245:9999/rtp/239.3.1.62:8112
CCTV10,http://121.29.133.226:8888/rtp/239.253.92.196:6061
CCTV10,http://nxlj.cn:1688/udp/239.45.3.8:5140
CCTV10,http://114.226.231.209:8787/rtp/239.49.8.54:9818
CCTV10,http://121.29.141.212:4022/rtp/239.253.92.196:6061
CCTV10,http://171.15.18.199:8180/TV00000000000000000010@HHZT
CCTV10,http://114.103.187.33:35455/mgtv/624878405.m3u8
CCTV10,http://221.222.242.239:56787/mgtv/624878405.m3u8
CCTV10,http://183.186.89.199:8899/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://117.12.149.228:4022/rtp/225.1.1.140:5002
CCTV10,http://220.169.100.41:10087/udp/239.76.246.160:1234
CCTV11,http://120.236.126.156:55455/mgtv/667987558.m3u8
CCTV11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】
CCTV11,http://web9916.w.computerqwq.cf/jzb.php?id=cctv11&公众号【医工学习日志】
CCTV11,http://111.162.204.18:8686/rtp/225.1.2.192:5002
CCTV11,http://121.29.133.226:8888/rtp/239.253.93.153:6321
CCTV11,http://117.13.121.247:4022/rtp/225.1.2.192:5002
CCTV11,http://42.63.195.230:8089/hls/11/index.m3u8
CCTV11,http://114.103.187.33:35455/mgtv/667987558.m3u8
CCTV11,http://221.222.242.239:56787/mgtv/667987558.m3u8
CCTV11,http://121.29.141.212:4022/rtp/239.253.93.153:6321
CCTV12,http://117.13.121.247:4022/rtp/225.1.1.142:5002
CCTV12,http://114.103.187.33:35455/mgtv/673168185.m3u8
CCTV12,http://183.164.37.38:4022/rtp/238.1.78.242:7808
CCTV12,http://ychz.myds.me:35455/mgtv/673168185.m3u8
CCTV12,http://114.226.231.209:8787/rtp/239.49.8.55:9822
CCTV12,http://121.29.133.226:8888/rtp/239.253.92.197:6062
CCTV12,http://111.196.134.161:20000/udp/239.3.1.64:8124
CCTV12,http://221.222.242.239:56787/mgtv/673168185.m3u8
CCTV12,http://101.26.54.36:9003/mgtv/673168185.m3u8
CCTV12,http://223.13.61.250:1000/mgtv/673168185.m3u8
CCTV13,http://8.138.7.223/tv/ptbtv.php?id=28
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV13,http://114.103.187.33:35455/mgtv/608807423.m3u8
CCTV13,http://111.162.204.18:8686/rtp/225.1.2.193:5002
CCTV13,http://124.162.19.248:4022/udp/225.0.4.219:7980
CCTV13,http://121.29.133.226:8888/rtp/239.253.92.13:8008
CCTV13,http://183.164.37.38:4022/rtp/238.1.79.35:4392
CCTV13,http://121.29.141.212:4022/rtp/239.253.92.13:8008
CCTV13,http://111.196.134.161:20000/udp/239.3.1.124:8128
CCTV13,http://101.26.54.36:9003/mgtv/608807423.m3u8
CCTV14,http://120.236.126.156:55455/mgtv/624878440.m3u8
CCTV14,http://220.169.100.41:10087/udp/239.76.253.164:9000
CCTV14,http://123.191.29.43:1111/rtp/232.0.0.140:1234
CCTV14,http://ychz.myds.me:35455/mgtv/624878440.m3u8
CCTV14,http://111.196.134.161:20000/udp/239.3.1.65:8132
CCTV14,http://221.222.242.239:56787/mgtv/624878440.m3u8
CCTV14,http://59.174.90.64:5555/mgtv/624878440.m3u8
CCTV14,http://101.26.54.36:9003/mgtv/624878440.m3u8
CCTV14,http://223.13.61.250:1000/mgtv/624878440.m3u8
CCTV14,http://qjrhc.jydjd.top:2911/udp/224.1.100.80:11111
CCTV15,http://121.29.141.212:4022/rtp/239.253.93.154:6322
CCTV15,http://183.164.37.38:4022/rtp/238.1.78.222:7648
CCTV15,http://123.191.29.43:1111/rtp/232.0.0.179:1234
CCTV15,http://42.63.195.230:8089/hls/15/index.m3u8
CCTV15,http://221.222.242.239:56787/mgtv/673168223.m3u8
CCTV15,http://114.103.187.33:35455/mgtv/673168223.m3u8
CCTV15,http://101.26.54.36:9003/mgtv/673168223.m3u8
CCTV15,http://59.174.90.64:5555/mgtv/673168223.m3u8
CCTV15,http://223.13.61.250:1000/mgtv/673168223.m3u8
CCTV15,http://111.193.239.245:9999/rtp/239.3.1.153:8136
CCTV16,http://api.mytv666.top/api/qwt.php?t=体育频道&id=CCTV16
CCTV16,http://111.162.204.18:8686/rtp/225.1.2.237:5002
CCTV16,http://117.12.149.228:4022/rtp/225.1.2.237:5002
